21/06/11/ 13:11:40
Gain= 10dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:11:42:9, 219, 161, 2292641, 39,
13:11:42:9, 220, 154, 2294864, 39,
13:11:42:9, 221, 218, 2560105, 39,
13:11:42:9, 222, 165, 2364194, 39,
13:11:42:9, 223, 153, 2411104, 39,
13:11:42:9, 224, 93, 1853217, 39,
13:11:42:9, 225, 109, 1856023, 39,
13:11:43:0, 226, 161, 2038100, 39,
13:11:43:0, 227, 138, 2238311, 39,
13:11:43:0, 228, 172, 2086738, 39,
13:11:43:0, 229, 167, 2533686, 39,
13:11:43:0, 230, 105, 1895268, 39,
13:11:43:0, 231, 123, 2014646, 39,
13:11:43:0, 232, 98, 1864089, 39,
13:11:43:0, 233, 125, 2127842, 39,
13:11:43:0, 234, 145, 1976828, 39,
13:11:43:0, 235, 111, 1795344, 39,
13:11:43:0, 236, 147, 2048774, 39,
13:11:43:1, 237, 107, 1759722, 1,
13:11:43:1, 238, 154, 2283970, 39,
13:11:43:1, 239, 155, 2362610, 39,
13:11:43:1, 240, 142, 2383044, 39,
13:11:43:1, 241, 136, 2048012, 39,
13:11:43:1, 242, 125, 1887254, 39,
13:11:43:1, 243, 104, 1809882, 39,
13:11:43:1, 244, 113, 1844351, 39,
13:11:43:1, 245, 111, 1870283, 39,
13:11:43:1, 246, 101, 1718249, 1,
13:11:43:2, 247, 98, 1793129, 1,
13:11:43:2, 248, 145, 2204840, 39,
13:11:43:2, 249, 107, 1956206, 39,
13:11:43:2, 250, 99, 1759609, 1,
13:11:43:2, 251, 102, 1891188, 39,
13:11:43:2, 252, 92, 1823597, 39,
13:11:43:2, 253, 117, 1818540, 39,
13:11:43:2, 254, 122, 1761024, 1,
13:11:43:2, 255, 96, 1781660, 1,
13:11:43:2, 256, 139, 1955144, 39,
13:11:43:3, 257, 145, 1892280, 39,
13:11:43:3, 258, 109, 1859557, 39,
13:11:43:3, 259, 96, 1819627, 39,
13:11:43:3, 260, 109, 1917096, 39,
13:11:43:3, 261, 106, 1842518, 39,
13:11:43:3, 262, 114, 1899964, 39,
13:11:43:3, 263, 118, 2034279, 39,
13:11:43:3, 264, 106, 1816133, 39,
13:11:43:3, 265, 107, 1888062, 39,
13:11:43:4, 266, 109, 1926159, 39,
13:11:43:4, 267, 136, 2137951, 39,
13:11:43:4, 268, 117, 1966096, 39,
13:11:43:4, 269, 110, 1829400, 39,
13:11:43:4, 270, 83, 1771404, 1,
13:11:43:4, 271, 111, 1881057, 39,
13:11:43:4, 272, 142, 2137382, 39,
13:11:43:4, 273, 162, 2339933, 39,
13:11:43:4, 274, 128, 1915972, 39,
13:11:43:4, 275, 100, 1801181, 1,
13:11:43:4, 276, 110, 1764070, 1,
13:11:43:5, 277, 120, 1999878, 39,
13:11:43:5, 278, 111, 1832616, 39,
13:11:43:5, 279, 135, 2376688, 39,
13:11:43:5, 280, 141, 1907285, 39,
13:11:43:5, 281, 106, 1804467, 1,
13:11:43:5, 282, 108, 1889309, 39,
13:11:43:5, 283, 112, 1895802, 39,
13:11:43:5, 284, 104, 1835116, 39,
13:11:43:5, 285, 386, 3214594, 39,
13:11:43:5, 286, 229, 2434626, 39,
13:11:43:6, 287, 105, 1863963, 39,
13:11:43:6, 288, 333, 3599040, 39,
13:11:43:6, 289, 162, 2348155, 39,
13:11:43:6, 290, 112, 2076655, 39,
13:11:43:6, 291, 111, 2096393, 39,
13:11:43:6, 292, 126, 1931604, 39,
13:11:43:6, 293, 159, 1919671, 39,
13:11:43:6, 294, 242, 3044142, 39,
13:11:43:6, 295, 109, 2135594, 39,
13:11:43:6, 296, 150, 2403326, 39,
13:11:43:7, 297, 115, 1917841, 39,
13:11:43:7, 298, 112, 1925990, 39,
13:11:43:7, 299, 145, 2173524, 39,
13:11:43:7, 300, 120, 1926254, 39,
13:11:43:7, 301, 118, 2040750, 39,
13:11:43:7, 302, 109, 2138549, 39,
13:11:43:7, 303, 195, 2952619, 39,
13:11:43:7, 304, 156, 2327148, 39,
13:11:43:7, 305, 136, 1909065, 39,
13:11:43:8, 306, 109, 1749257, 1,
13:11:43:8, 307, 96, 1795431, 1,
13:11:43:8, 308, 114, 1880975, 39,
13:11:43:8, 309, 114, 1897815, 39,
13:11:43:8, 310, 111, 1953213, 39,
13:11:43:8, 311, 110, 1787545, 39,
13:11:43:8, 312, 148, 2066616, 39,
13:11:43:8, 313, 179, 3230125, 39,
13:11:43:8, 314, 126, 1886690, 39,
13:11:43:8, 315, 179, 2018047, 39,
13:11:43:8, 316, 128, 2059449, 39,
13:11:43:9, 317, 112, 1911662, 39,
13:11:43:9, 318, 160, 2216006, 39,
13:11:43:9, 319, 115, 1944867, 39,
13:11:43:9, 320, 118, 1985521, 39,
13:11:43:9, 321, 96, 1916405, 39,
13:11:43:9, 322, 139, 2073377, 39,
13:11:43:9, 323, 144, 2332737, 39,
13:11:43:9, 324, 103, 1908069, 39,
13:11:43:9, 325, 103, 1845018, 39,
13:11:43:9, 326, 132, 1825807, 39,
13:11:44:0, 327, 98, 1686735, 1,
13:11:44:0, 328, 103, 1834477, 39,
13:11:44:0, 329, 153, 1948026, 39,
13:11:44:0, 330, 140, 2040716, 39,
13:11:44:0, 331, 112, 1792133, 39,
13:11:44:0, 332, 98, 1766811, 1,
13:11:44:0, 333, 106, 1855348, 39,
13:11:44:0, 334, 114, 1819419, 39,
13:11:44:0, 335, 114, 1903603, 39,
13:11:44:0, 336, 106, 1856045, 39,
13:11:44:1, 337, 138, 2026433, 39,
13:11:44:1, 338, 147, 1901101, 39,
13:11:44:1, 339, 110, 1962990, 39,
13:11:44:1, 340, 109, 1906690, 39,
13:11:44:1, 341, 181, 2560293, 39,
13:11:44:1, 342, 170, 2640126, 39,
13:11:44:1, 343, 139, 2067759, 39,
13:11:44:1, 344, 96, 1841697, 39,
13:11:44:1, 345, 108, 1816470, 39,
13:11:44:1, 346, 95, 1794131, 1,
13:11:44:2, 347, 98, 1867203, 39,
13:11:44:2, 348, 112, 1925639, 39,
13:11:44:2, 349, 111, 1945753, 39,
13:11:44:2, 350, 113, 1971948, 39,
13:11:44:2, 351, 89, 1888733, 39,
13:11:44:2, 352, 103, 1839852, 39,
13:11:44:2, 353, 139, 1917862, 39,
13:11:44:2, 354, 125, 1900765, 39,
13:11:44:2, 355, 101, 1783960, 1,
13:11:44:3, 356, 107, 1849687, 39,
13:11:44:3, 357, 106, 1807973, 39,
13:11:44:3, 358, 105, 1917775, 39,
13:11:44:3, 359, 111, 1877677, 39,
13:11:44:3, 360, 118, 1840393, 39,
13:11:44:3, 361, 109, 1966383, 39,
13:11:44:3, 362, 106, 1785158, 1,
13:11:44:3, 363, 132, 2108219, 39,
13:11:44:3, 364, 99, 2007703, 39,
13:11:44:3, 365, 102, 1703419, 1,
13:11:44:3, 366, 140, 2016596, 39,
13:11:44:4, 367, 123, 2037828, 39,
13:11:44:4, 368, 103, 1859651, 39,
13:11:44:4, 369, 123, 2201504, 39,
13:11:44:4, 370, 123, 2053771, 39,
13:11:44:4, 371, 157, 2127047, 39,
13:11:44:4, 372, 122, 2056857, 39,
13:11:44:4, 373, 116, 1960902, 39,
13:11:44:4, 374, 134, 2119996, 39,
13:11:44:4, 375, 114, 1944862, 39,
13:11:44:5, 376, 114, 1827315, 39,
13:11:44:5, 377, 109, 1942321, 39,
13:11:44:5, 378, 104, 1992538, 39,
13:11:44:5, 379, 107, 1840145, 39,
13:11:44:5, 380, 99, 1840759, 39,
13:11:44:5, 381, 106, 1844099, 39,
13:11:44:5, 382, 110, 1821535, 39,
13:11:44:5, 383, 104, 1785173, 1,
13:11:44:5, 384, 153, 1974581, 39,
13:11:44:5, 385, 108, 1845293, 39,
13:11:44:5, 386, 97, 1796949, 1,
13:11:44:6, 387, 101, 1821298, 39,
13:11:44:6, 388, 103, 1865579, 39,
13:11:44:6, 389, 112, 2122516, 39,
13:11:44:6, 390, 151, 2057032, 39,
13:11:44:6, 391, 153, 2494230, 39,
13:11:44:6, 392, 137, 2325997, 39,
13:11:44:6, 393, 117, 1921854, 39,
13:11:44:6, 394, 139, 2015974, 39,
13:11:44:6, 395, 102, 1848697, 39,
13:11:44:6, 396, 118, 1772534, 1,
13:11:44:7, 397, 123, 2137818, 39,
13:11:44:7, 398, 117, 1971645, 39,
13:11:44:7, 399, 192, 2513570, 39,
13:11:44:7, 400, 157, 2353030, 39,
13:11:44:7, 401, 104, 1871471, 39,
13:11:44:7, 402, 93, 1670889, 1,
13:11:44:7, 403, 104, 1751904, 1,
13:11:44:7, 404, 101, 1702368, 1,
13:11:44:7, 405, 117, 1936624, 39,
13:11:44:8, 406, 97, 1754434, 1,
13:11:44:8, 407, 125, 1998343, 39,
13:11:44:8, 408, 103, 1946831, 39,
13:11:44:8, 409, 131, 2317091, 39,
13:11:44:8, 410, 140, 1966185, 39,
13:11:44:8, 411, 99, 1899099, 39,
13:11:44:8, 412, 175, 2260846, 39,
13:11:44:8, 413, 136, 2006156, 39,
13:11:44:8, 414, 134, 2132342, 39,
13:11:44:8, 415, 135, 2001183, 39,
13:11:44:9, 416, 116, 2169715, 39,
13:11:44:9, 417, 116, 2003382, 39,
13:11:44:9, 418, 155, 2001907, 39,
13:11:44:9, 419, 173, 2419817, 39,
13:11:44:9, 420, 125, 2235480, 39,
13:11:44:9, 421, 112, 1807433, 1,
13:11:44:9, 422, 99, 1752134, 1,
13:11:44:9, 423, 132, 1913562, 39,
13:11:44:9, 424, 99, 1826623, 39,
13:11:44:9, 425, 95, 1766264, 1,
13:11:44:9, 426, 92, 1804818, 1,
13:11:45:0, 427, 104, 1939901, 39,
13:11:45:0, 428, 109, 1822862, 39,
13:11:45:0, 429, 106, 1918566, 39,
13:11:45:0, 430, 110, 1892119, 39,
13:11:45:0, 431, 99, 1827770, 39,
13:11:45:0, 432, 103, 1792957, 1,
13:11:45:0, 433, 96, 1843191, 39,
13:11:45:0, 434, 210, 2685337, 39,
13:11:45:0, 435, 117, 1848964, 39,
13:11:45:0, 436, 115, 1905612, 39,
13:11:45:1, 437, 128, 1963244, 39,
13:11:45:1, 438, 99, 1898861, 39,
13:11:45:1, 439, 95, 1745691, 1,
13:11:45:1, 440, 164, 2166421, 39,
13:11:45:1, 441, 120, 1950778, 39,
13:11:45:1, 442, 128, 2002560, 39,
13:11:45:1, 443, 111, 1887678, 39,
13:11:45:1, 444, 137, 2138705, 39,
13:11:45:1, 445, 137, 2266521, 39,
13:11:45:2, 446, 180, 2582332, 39,
13:11:45:2, 447, 142, 2401009, 39,
13:11:45:2, 448, 96, 1993010, 39,
13:11:45:2, 449, 144, 1988121, 39,
13:11:45:2, 450, 100, 1852823, 39,
13:11:45:2, 451, 130, 2022283, 39,
13:11:45:2, 452, 119, 1931844, 39,
13:11:45:2, 453, 113, 1903923, 39,
13:11:45:2, 454, 126, 2083215, 39,
13:11:45:2, 455, 109, 1878489, 39,
13:11:45:2, 456, 97, 1909753, 39,
13:11:45:3, 457, 104, 2062365, 39,
13:11:45:3, 458, 128, 2002842, 39,
13:11:45:3, 459, 112, 1955876, 39,
13:11:45:3, 460, 105, 1864267, 39,
13:11:45:3, 461, 110, 1816399, 39,
13:11:45:3, 462, 125, 1919445, 39,
13:11:45:3, 463, 102, 1778731, 1,
13:11:45:3, 464, 176, 2329197, 39,
13:11:45:3, 465, 172, 2422961, 39,
13:11:45:4, 466, 165, 2129216, 39,
13:11:45:4, 467, 119, 2062879, 39,
13:11:45:4, 468, 129, 1904585, 39,
13:11:45:4, 469, 109, 1954267, 39,
13:11:45:4, 470, 101, 1925304, 39,
13:11:45:4, 471, 107, 1810019, 39,
13:11:45:4, 472, 123, 2103369, 39,
13:11:45:4, 473, 139, 2091504, 39,
13:11:45:4, 474, 101, 1907779, 39,
13:11:45:4, 475, 156, 2127726, 39,
13:11:45:5, 476, 93, 1913857, 39,
13:11:45:5, 477, 117, 1996653, 39,
13:11:45:5, 478, 119, 1883972, 39,
13:11:45:5, 479, 125, 1829349, 39,
13:11:45:5, 480, 107, 1905371, 39,
13:11:45:5, 481, 104, 1857497, 39,
13:11:45:5, 482, 98, 1834195, 39,
13:11:45:5, 483, 100, 1763518, 1,
13:11:45:5, 484, 92, 1787284, 1,
13:11:45:5, 485, 105, 1784389, 1,
13:11:45:5, 486, 112, 1851558, 39,
13:11:45:6, 487, 134, 2047323, 39,
13:11:45:6, 488, 123, 2005653, 39,
13:11:45:6, 489, 119, 1963855, 39,
13:11:45:6, 490, 129, 1804945, 39,
13:11:45:6, 491, 107, 2018211, 39,
13:11:45:6, 492, 173, 2264619, 39,
13:11:45:6, 493, 148, 2271987, 39,
13:11:45:6, 494, 155, 2397953, 39,
13:11:45:6, 495, 101, 1973979, 39,
13:11:45:6, 496, 118, 2021278, 39,
13:11:45:7, 497, 114, 1904816, 39,
13:11:45:7, 498, 108, 1939058, 39,
13:11:45:7, 499, 125, 1957980, 39,
13:11:45:7, 500, 99, 1849531, 39,
13:11:45:7, 501, 112, 1853817, 39,
13:11:45:7, 502, 124, 1929230, 39,
13:11:45:7, 503, 115, 1818758, 39,
13:11:45:7, 504, 128, 2066061, 39,
13:11:45:7, 505, 116, 1868834, 39,
13:11:45:8, 506, 110, 1835311, 39,
13:11:45:8, 507, 121, 1977395, 39,
13:11:45:8, 508, 99, 1880490, 39,
13:11:45:8, 509, 107, 1877813, 39,
13:11:45:8, 510, 110, 1837809, 39,
13:11:45:8, 511, 170, 2486171, 39,
13:11:45:8, 512, 225, 2750697, 39,
13:11:45:8, 513, 138, 1998284, 39,
13:11:45:8, 514, 132, 1970860, 39,
13:11:45:8, 515, 107, 1924760, 39,
13:11:45:9, 516, 120, 1958540, 39,
13:11:45:9, 517, 112, 1923513, 39,
13:11:45:9, 518, 115, 2001107, 39,
13:11:45:9, 519, 113, 1847281, 39,
13:11:45:9, 520, 166, 2423122, 39,
13:11:45:9, 521, 132, 2246069, 39,
13:11:45:9, 522, 165, 2563403, 39,
13:11:45:9, 523, 113, 2052325, 39,
13:11:45:9, 524, 95, 1889518, 39,
13:11:45:9, 525, 89, 1884510, 39,
13:11:45:9, 526, 104, 1904869, 39,
13:11:46:0, 527, 157, 2516627, 39,
13:11:46:0, 528, 171, 2517030, 39,
13:11:46:0, 529, 219, 2385745, 39,
13:11:46:0, 530, 137, 2291145, 39,
13:11:46:0, 531, 109, 1902997, 39,
13:11:46:0, 532, 143, 2003395, 39,
13:11:46:0, 533, 118, 1922463, 39,
13:11:46:0, 534, 122, 1855804, 39,
13:11:46:0, 535, 96, 1926177, 39,
