21/06/11/ 13:10:26
Gain= 20dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:10:29:0, 258, 270, 4442830, 39,
13:10:29:0, 259, 232, 4471707, 39,
13:10:29:0, 260, 273, 4448690, 39,
13:10:29:0, 261, 334, 4707389, 39,
13:10:29:0, 262, 270, 4296107, 39,
13:10:29:0, 263, 237, 4182489, 39,
13:10:29:1, 264, 209, 4162743, 39,
13:10:29:1, 265, 241, 4042412, 39,
13:10:29:1, 266, 292, 4159364, 39,
13:10:29:1, 267, 244, 4370162, 39,
13:10:29:1, 268, 256, 4104095, 39,
13:10:29:1, 269, 242, 4427848, 39,
13:10:29:1, 270, 269, 4493396, 39,
13:10:29:1, 271, 216, 4426955, 39,
13:10:29:1, 272, 248, 4243132, 39,
13:10:29:1, 273, 223, 4347827, 39,
13:10:29:2, 274, 255, 4311177, 39,
13:10:29:2, 275, 264, 4518875, 39,
13:10:29:2, 276, 312, 4742334, 39,
13:10:29:2, 277, 270, 4518232, 39,
13:10:29:2, 278, 270, 4669801, 39,
13:10:29:2, 279, 266, 4550796, 39,
13:10:29:2, 280, 259, 4465543, 39,
13:10:29:2, 281, 245, 4439224, 39,
13:10:29:2, 282, 253, 4439086, 39,
13:10:29:2, 283, 281, 4568728, 39,
13:10:29:2, 284, 242, 4210704, 39,
13:10:29:3, 285, 228, 4292766, 39,
13:10:29:3, 286, 242, 4349700, 39,
13:10:29:3, 287, 228, 4263342, 39,
13:10:29:3, 288, 340, 4860791, 39,
13:10:29:3, 289, 251, 4342309, 39,
13:10:29:3, 290, 300, 4271844, 39,
13:10:29:3, 291, 237, 4303897, 39,
13:10:29:3, 292, 286, 4393960, 39,
13:10:29:3, 293, 297, 4546221, 39,
13:10:29:4, 294, 240, 4379768, 39,
13:10:29:4, 295, 307, 4275499, 39,
13:10:29:4, 296, 245, 4321173, 39,
13:10:29:4, 297, 262, 4118885, 39,
13:10:29:4, 298, 281, 4822049, 39,
13:10:29:4, 299, 370, 4918757, 39,
13:10:29:4, 300, 327, 5002196, 39,
13:10:29:4, 301, 272, 4666324, 39,
13:10:29:4, 302, 251, 4580981, 39,
13:10:29:4, 303, 253, 4466783, 39,
13:10:29:5, 304, 284, 4558040, 39,
13:10:29:5, 305, 243, 4599379, 39,
13:10:29:5, 306, 262, 4517251, 39,
13:10:29:5, 307, 248, 4348265, 39,
13:10:29:5, 308, 242, 4154454, 39,
13:10:29:5, 309, 272, 4555131, 39,
13:10:29:5, 310, 232, 4308078, 39,
13:10:29:5, 311, 256, 4689922, 39,
13:10:29:5, 312, 254, 4496073, 39,
13:10:29:5, 313, 293, 4461657, 39,
13:10:29:5, 314, 244, 4562534, 39,
13:10:29:6, 315, 234, 4375906, 39,
13:10:29:6, 316, 231, 4423233, 39,
13:10:29:6, 317, 264, 4337870, 39,
13:10:29:6, 318, 264, 4325136, 39,
13:10:29:6, 319, 244, 4365031, 39,
13:10:29:6, 320, 213, 4202569, 39,
13:10:29:6, 321, 240, 4487074, 39,
13:10:29:6, 322, 267, 4563332, 39,
13:10:29:6, 323, 239, 4337243, 39,
13:10:29:6, 324, 325, 4757095, 39,
13:10:29:7, 325, 246, 4389136, 39,
13:10:29:7, 326, 258, 4721548, 39,
13:10:29:7, 327, 225, 4196576, 39,
13:10:29:7, 328, 270, 4475870, 39,
13:10:29:7, 329, 239, 4742422, 39,
13:10:29:7, 330, 353, 4741671, 39,
13:10:29:7, 331, 260, 4478363, 39,
13:10:29:7, 332, 257, 4463318, 39,
13:10:29:7, 333, 279, 4626656, 39,
13:10:29:7, 334, 308, 4611524, 39,
13:10:29:8, 335, 272, 4583507, 39,
13:10:29:8, 336, 256, 4380127, 39,
13:10:29:8, 337, 238, 4301258, 39,
13:10:29:8, 338, 248, 4287662, 39,
13:10:29:8, 339, 266, 4371252, 39,
13:10:29:8, 340, 279, 4222368, 39,
13:10:29:8, 341, 227, 4211324, 39,
13:10:29:8, 342, 292, 4362765, 39,
13:10:29:8, 343, 267, 4422212, 39,
13:10:29:8, 344, 233, 4298064, 39,
13:10:29:9, 345, 264, 4139603, 39,
13:10:29:9, 346, 219, 4116458, 39,
13:10:29:9, 347, 261, 4349727, 39,
13:10:29:9, 348, 289, 4595676, 39,
13:10:29:9, 349, 251, 4409292, 39,
13:10:29:9, 350, 241, 4300928, 39,
13:10:29:9, 351, 212, 4227460, 39,
13:10:29:9, 352, 239, 4340366, 39,
13:10:29:9, 353, 243, 4376829, 39,
13:10:30:0, 354, 342, 5203337, 39,
13:10:30:0, 355, 272, 4499624, 39,
13:10:30:0, 356, 307, 4819672, 39,
13:10:30:0, 357, 237, 4300628, 39,
13:10:30:0, 358, 237, 4706946, 39,
13:10:30:0, 359, 237, 4103677, 39,
13:10:30:0, 360, 261, 4364478, 39,
13:10:30:0, 361, 255, 4321265, 39,
13:10:30:0, 362, 237, 4143577, 39,
13:10:30:0, 363, 264, 4442918, 39,
13:10:30:0, 364, 245, 4262026, 39,
13:10:30:1, 365, 272, 4867747, 39,
13:10:30:1, 366, 221, 4403698, 39,
13:10:30:1, 367, 243, 4203671, 39,
13:10:30:1, 368, 257, 4519042, 39,
13:10:30:1, 369, 237, 4456108, 39,
13:10:30:1, 370, 277, 4834548, 39,
13:10:30:1, 371, 256, 4537875, 39,
